X,Y,Z,ScaledValSoft
3.0,18.0,16.0,0.22071215510368347
3.0,27.0,16.0,0.11660777777433395
3.0,29.0,16.0,0.04484914615750313
3.0,30.0,16.0,0.03751019388437271
3.0,31.0,16.0,0.06686599552631378
3.0,35.0,16.0,0.06605056673288345
3.0,36.0,16.0,0.0472954623401165
3.0,37.0,16.0,0.05409079045057297
3.0,45.0,16.0,0.3321554958820343
3.0,52.0,16.0,0.10709432512521744
3.0,54.0,16.0,0.14705082774162292
3.0,61.0,16.0,0.7662408351898193
3.0,66.0,16.0,0.1418863832950592
3.0,70.0,16.0,0.7907040119171143
3.0,72.0,16.0,0.8586573004722595
3.0,73.0,16.0,0.8178852796554565
3.0,75.0,16.0,0.20195706188678741
3.0,89.0,16.0,0.42321285605430603
3.0,90.0,16.0,0.12612123787403107
3.0,92.0,16.0,0.09703724831342697
3.0,99.0,16.0,0.4471323788166046
3.0,101.0,16.0,0.23049741983413696
3.0,105.0,16.0,0.10790976881980896
3.0,108.0,16.0,0.10192988067865372
3.0,109.0,16.0,0.12177222967147827
3.0,117.0,16.0,0.35743406414985657
3.0,119.0,16.0,0.07964120805263519
3.0,121.0,16.0,0.05653709918260574
3.0,130.0,16.0,0.22777928411960602
4.0,8.0,16.0,0.2720848023891449
4.0,10.0,16.0,0.27290022373199463
4.0,12.0,16.0,0.16036967933177948
4.0,14.0,16.0,0.16689318418502808
4.0,16.0,16.0,0.2620277404785156
4.0,21.0,16.0,0.0902419164776802
4.0,40.0,16.0,0.051644474267959595
4.0,46.0,16.0,0.16471868753433228
4.0,51.0,16.0,0.10491982102394104
4.0,58.0,16.0,0.7689589858055115
4.0,62.0,16.0,0.801576554775238
4.0,63.0,16.0,0.22071215510368347
4.0,68.0,16.0,0.826039731502533
4.0,71.0,16.0,0.8151671886444092
4.0,72.0,16.0,0.8695298433303833
4.0,80.0,16.0,0.8178852796554565
4.0,95.0,16.0,0.3076923191547394
4.0,101.0,16.0,0.2590377926826477
4.0,105.0,16.0,0.10763794928789139
4.0,108.0,16.0,0.1138896495103836
4.0,109.0,16.0,0.1277521252632141
4.0,116.0,16.0,0.30470237135887146
4.0,119.0,16.0,0.05354715511202812
4.0,124.0,16.0,0.13509106636047363
4.0,127.0,16.0,0.1793965846300125
4.0,128.0,16.0,0.13590650260448456
4.0,129.0,16.0,0.08779560029506683
5.0,1.0,16.0,0.44006526470184326
5.0,12.0,16.0,0.17260123789310455
5.0,13.0,16.0,0.20576244592666626
5.0,19.0,16.0,0.13509106636047363
5.0,20.0,16.0,0.14650720357894897
5.0,21.0,16.0,0.07447677105665207
5.0,29.0,16.0,0.10491982102394104
5.0,40.0,16.0,0.058439791202545166
5.0,42.0,16.0,0.10301712900400162
5.0,44.0,16.0,0.2742592990398407
5.0,47.0,16.0,0.10383257269859314
5.0,49.0,16.0,0.08235934376716614
5.0,51.0,16.0,0.11524871736764908
5.0,54.0,16.0,0.09187280386686325
5.0,56.0,16.0,0.8124490976333618
5.0,65.0,16.0,0.17042674124240875
5.0,66.0,16.0,0.20032617449760437
5.0,71.0,16.0,0.8695298433303833
5.0,74.0,16.0,0.826039731502533
5.0,82.0,16.0,0.8151671886444092
5.0,84.0,16.0,0.8369122743606567
5.0,87.0,16.0,0.8197880387306213
5.0,91.0,16.0,0.08290297538042068
5.0,92.0,16.0,0.10192988067865372
5.0,100.0,16.0,0.22832292318344116
5.0,102.0,16.0,0.2117423266172409
5.0,103.0,16.0,0.24680618941783905
5.0,104.0,16.0,0.23620548844337463
5.0,107.0,16.0,0.0505572147667408
5.0,119.0,16.0,0.08562109619379044
5.0,126.0,16.0,0.07583582401275635
6.0,6.0,16.0,0.22886653244495392
6.0,20.0,16.0,0.15819516777992249
6.0,21.0,16.0,0.1149769052863121
6.0,27.0,16.0,0.06849688291549683
6.0,34.0,16.0,0.07447677105665207
6.0,36.0,16.0,0.09431912004947662
6.0,37.0,16.0,0.06061430275440216
6.0,43.0,16.0,0.11008426547050476
6.0,44.0,16.0,0.29518890380859375
6.0,45.0,16.0,0.1880945861339569
6.0,64.0,16.0,0.21554769575595856
6.0,65.0,16.0,0.25414514541625977
6.0,67.0,16.0,0.1720576286315918
6.0,84.0,16.0,0.826039731502533
6.0,87.0,16.0,0.801576554775238
6.0,91.0,16.0,0.16825225949287415
6.0,122.0,16.0,0.0967654287815094
7.0,4.0,16.0,0.10301712900400162
7.0,19.0,16.0,0.1837455779314041
7.0,21.0,16.0,0.16825225949287415
7.0,29.0,16.0,0.23185649514198303
7.0,32.0,16.0,0.10709432512521744
7.0,41.0,16.0,0.09540636837482452
7.0,45.0,16.0,0.1538461595773697
7.0,50.0,16.0,0.058983419090509415
7.0,52.0,16.0,0.08426202833652496
7.0,59.0,16.0,0.7825496196746826
7.0,72.0,16.0,0.8668116331100464
7.0,74.0,16.0,0.8287578225135803
7.0,76.0,16.0,0.8287578225135803
7.0,81.0,16.0,0.8722479343414307
7.0,88.0,16.0,0.8070127964019775
7.0,97.0,16.0,0.27126938104629517
7.0,99.0,16.0,0.27235662937164307
7.0,109.0,16.0,0.05925523489713669
7.0,115.0,16.0,0.13835282623767853
7.0,118.0,16.0,0.08861104398965836
7.0,121.0,16.0,0.11851046979427338
7.0,122.0,16.0,0.1375373750925064
7.0,123.0,16.0,0.17722205817699432
7.0,127.0,16.0,0.07583582401275635
8.0,3.0,16.0,0.6928513646125793
8.0,16.0,16.0,0.4302799701690674
8.0,20.0,16.0,0.27072572708129883
8.0,21.0,16.0,0.16961131989955902
8.0,23.0,16.0,0.18021202087402344
8.0,27.0,16.0,0.255776047706604
8.0,28.0,16.0,0.14107094705104828
8.0,30.0,16.0,0.228051096200943
8.0,33.0,16.0,0.07909758388996124
8.0,55.0,16.0,0.7961402535438538
8.0,56.0,16.0,0.8151671886444092
8.0,58.0,16.0,0.7934221625328064
8.0,64.0,16.0,0.2593095898628235
8.0,66.0,16.0,0.2193530797958374
8.0,73.0,16.0,0.9021473526954651
8.0,96.0,16.0,0.3172057569026947
8.0,107.0,16.0,0.02826855331659317
8.0,109.0,16.0,0.04974178224802017
8.0,112.0,16.0,0.07284588366746902
8.0,121.0,16.0,0.094590924680233
8.0,123.0,16.0,0.057896167039871216
8.0,128.0,16.0,0.08208753168582916
9.0,9.0,16.0,0.22016853094100952
9.0,10.0,16.0,0.37048110365867615
9.0,16.0,16.0,0.4922533333301544
9.0,18.0,16.0,0.37455829977989197
9.0,24.0,16.0,0.14922533929347992
9.0,25.0,16.0,0.0956781804561615
9.0,29.0,16.0,0.24707801640033722
9.0,38.0,16.0,0.03234574571251869
9.0,44.0,16.0,0.11905409395694733
9.0,47.0,16.0,0.19652079045772552
9.0,49.0,16.0,0.1622723639011383
9.0,52.0,16.0,0.16064147651195526
9.0,58.0,16.0,0.8178852796554565
9.0,61.0,16.0,0.3191084563732147
9.0,62.0,16.0,0.1997825652360916
9.0,63.0,16.0,0.1859200894832611
9.0,66.0,16.0,0.1473226547241211
9.0,67.0,16.0,0.16526229679584503
9.0,74.0,16.0,0.9135634303092957
9.0,76.0,16.0,0.8831204771995544
9.0,92.0,16.0,0.1666213721036911
9.0,94.0,16.0,0.22506114840507507
9.0,101.0,16.0,0.23620548844337463
9.0,111.0,16.0,0.06605056673288345
9.0,112.0,16.0,0.05544985085725784
9.0,117.0,16.0,0.07610764354467392
9.0,119.0,16.0,0.17015492916107178
9.0,129.0,16.0,0.09948356449604034
10.0,4.0,16.0,0.6901332139968872
10.0,5.0,16.0,0.7064419984817505
10.0,8.0,16.0,0.18129926919937134
10.0,16.0,16.0,0.6153846383094788
10.0,17.0,16.0,0.399836927652359
10.0,22.0,16.0,0.17124217748641968
10.0,29.0,16.0,0.28023919463157654
10.0,31.0,16.0,0.14215821027755737
10.0,34.0,16.0,0.07366132736206055
10.0,43.0,16.0,0.21745039522647858
10.0,45.0,16.0,0.1291111707687378
10.0,46.0,16.0,0.191356360912323
10.0,48.0,16.0,0.36205488443374634
10.0,59.0,16.0,0.7934221625328064
10.0,72.0,16.0,0.8151671886444092
10.0,74.0,16.0,0.7961402535438538
10.0,78.0,16.0,0.8477847576141357
10.0,85.0,16.0,0.8722479343414307
10.0,87.0,16.0,0.8559392094612122
10.0,93.0,16.0,0.3256319761276245
10.0,96.0,16.0,0.18537646532058716
10.0,97.0,16.0,0.17042674124240875
10.0,99.0,16.0,0.10437619686126709
10.0,105.0,16.0,0.034792061895132065
10.0,115.0,16.0,0.1291111707687378
10.0,121.0,16.0,0.06360424309968948
10.0,126.0,16.0,0.09404730051755905
10.0,129.0,16.0,0.1997825652360916
11.0,1.0,16.0,0.7145963907241821
11.0,3.0,16.0,0.660233736038208
11.0,9.0,16.0,0.2652894854545593
11.0,25.0,16.0,0.28676271438598633
11.0,34.0,16.0,0.05871161073446274
11.0,36.0,16.0,0.07746671140193939
11.0,37.0,16.0,0.12122860550880432
11.0,41.0,16.0,0.13808099925518036
11.0,44.0,16.0,0.2549605667591095
11.0,45.0,16.0,0.35118240118026733
11.0,46.0,16.0,0.22777928411960602
11.0,51.0,16.0,0.25224247574806213
11.0,55.0,16.0,0.7662408351898193
11.0,56.0,16.0,0.7716770768165588
11.0,62.0,16.0,0.1331883817911148
11.0,63.0,16.0,0.1353628784418106
11.0,71.0,16.0,0.8151671886444092
11.0,74.0,16.0,0.8287578225135803
11.0,82.0,16.0,0.8450666666030884
11.0,85.0,16.0,0.8722479343414307
11.0,95.0,16.0,0.11986953765153885
11.0,102.0,16.0,0.15520523488521576
11.0,110.0,16.0,0.05762435868382454
11.0,111.0,16.0,0.08589291572570801
11.0,112.0,16.0,0.05871161073446274
11.0,118.0,16.0,0.09486274421215057
12.0,4.0,16.0,0.6412068605422974
12.0,10.0,16.0,0.09296005219221115
12.0,14.0,16.0,0.4870888888835907
12.0,17.0,16.0,0.337319940328598
12.0,23.0,16.0,0.37048110365867615
12.0,34.0,16.0,0.13617831468582153
12.0,35.0,16.0,0.14134275913238525
12.0,36.0,16.0,0.1291111707687378
12.0,46.0,16.0,0.2473498284816742
12.0,49.0,16.0,0.2620277404785156
12.0,52.0,16.0,0.7771133780479431
12.0,63.0,16.0,0.1236749142408371
12.0,68.0,16.0,0.18863822519779205
12.0,73.0,16.0,0.8206034302711487
12.0,75.0,16.0,0.8284860253334045
12.0,76.0,16.0,0.7934221625328064
12.0,87.0,16.0,0.8287578225135803
12.0,91.0,16.0,0.4416961073875427
12.0,110.0,16.0,0.0451209619641304
12.0,116.0,16.0,0.03615112975239754
12.0,125.0,16.0,0.09268823266029358
13.0,3.0,16.0,0.7281870245933533
13.0,4.0,16.0,0.7145963907241821
13.0,8.0,16.0,0.722750723361969
13.0,11.0,16.0,0.04756727069616318
13.0,16.0,16.0,0.2856754660606384
13.0,17.0,16.0,0.20929601788520813
13.0,19.0,16.0,0.14895352721214294
13.0,25.0,16.0,0.17722205817699432
13.0,26.0,16.0,0.27996739745140076
13.0,46.0,16.0,0.2397390604019165
13.0,54.0,16.0,0.8151671886444092
13.0,60.0,16.0,0.15411798655986786
13.0,64.0,16.0,0.12476217746734619
13.0,69.0,16.0,0.09268823266029358
13.0,70.0,16.0,0.11062788963317871
13.0,76.0,16.0,0.8505029082298279
13.0,82.0,16.0,0.9211742877960205
13.0,93.0,16.0,0.10029900819063187
13.0,98.0,16.0,0.16961131989955902
13.0,106.0,16.0,0.08779560029506683
13.0,118.0,16.0,0.11959771811962128
13.0,123.0,16.0,0.06713781505823135
13.0,124.0,16.0,0.1321011185646057
14.0,15.0,16.0,0.48736071586608887
14.0,16.0,16.0,0.3411253094673157
14.0,19.0,16.0,0.09540636837482452
14.0,20.0,16.0,0.1473226547241211
14.0,32.0,16.0,0.25332972407341003
14.0,35.0,16.0,0.27290022373199463
14.0,37.0,16.0,0.25006797909736633
14.0,42.0,16.0,0.15710791945457458
14.0,47.0,16.0,0.1804838329553604
14.0,51.0,16.0,0.1312856823205948
14.0,59.0,16.0,0.8314759731292725
14.0,60.0,16.0,0.07583582401275635
14.0,66.0,16.0,0.09404730051755905
14.0,68.0,16.0,0.208480566740036
14.0,76.0,16.0,0.8423484563827515
14.0,78.0,16.0,0.8097308874130249
14.0,83.0,16.0,0.888556718826294
14.0,84.0,16.0,0.8722479343414307
14.0,86.0,16.0,0.8396303653717041
14.0,90.0,16.0,0.8532209992408752
14.0,91.0,16.0,0.26909488439559937
14.0,92.0,16.0,0.18320195376873016
14.0,103.0,16.0,0.20630605518817902
14.0,105.0,16.0,0.07964120805263519
14.0,108.0,16.0,0.03261755779385567
14.0,115.0,16.0,0.03506387770175934
14.0,124.0,16.0,0.12748029828071594
14.0,127.0,16.0,0.4471323788166046
15.0,3.0,16.0,0.6955694556236267
15.0,8.0,16.0,0.7064419984817505
15.0,10.0,16.0,0.701005756855011
15.0,13.0,16.0,0.7173145413398743
15.0,20.0,16.0,0.1655341237783432
15.0,23.0,16.0,0.12965479493141174
15.0,25.0,16.0,0.4011959731578827
15.0,29.0,16.0,0.3449307084083557
15.0,30.0,16.0,0.29736343026161194
15.0,33.0,16.0,0.18999728560447693
15.0,42.0,16.0,0.23729273676872253
15.0,46.0,16.0,0.22207121551036835
15.0,50.0,16.0,0.13780920207500458
15.0,51.0,16.0,0.10410437732934952
15.0,53.0,16.0,0.7608045339584351
15.0,57.0,16.0,0.7771133780479431
15.0,62.0,16.0,0.10790976881980896
15.0,64.0,16.0,0.08725197613239288
15.0,68.0,16.0,0.11687959730625153
15.0,69.0,16.0,0.06007067859172821
15.0,78.0,16.0,0.8124490976333618
15.0,79.0,16.0,0.8206034302711487
15.0,81.0,16.0,0.849687397480011
15.0,83.0,16.0,0.8551236987113953
15.0,85.0,16.0,0.8423484563827515
15.0,91.0,16.0,0.15466159582138062
15.0,94.0,16.0,0.07284588366746902
15.0,98.0,16.0,0.2546887695789337
15.0,101.0,16.0,0.13182930648326874
15.0,103.0,16.0,0.2647458612918854
15.0,104.0,16.0,0.1462354063987732
15.0,117.0,16.0,0.10573525726795197
15.0,121.0,16.0,0.17477576434612274
16.0,1.0,16.0,0.7526502013206482
16.0,11.0,16.0,0.5928241610527039
16.0,13.0,16.0,0.7064419984817505
16.0,16.0,16.0,0.7254689335823059
16.0,20.0,16.0,0.191356360912323
16.0,30.0,16.0,0.29736343026161194
16.0,35.0,16.0,0.15411798655986786
16.0,42.0,16.0,0.1997825652360916
16.0,52.0,16.0,0.7145963907241821
16.0,54.0,16.0,0.7689589858055115
16.0,55.0,16.0,0.7526502013206482
16.0,58.0,16.0,0.763522744178772
16.0,72.0,16.0,0.07610764354467392
16.0,75.0,16.0,0.7771133780479431
16.0,76.0,16.0,0.8042946457862854
16.0,91.0,16.0,0.1859200894832611
16.0,92.0,16.0,0.08942648023366928
16.0,98.0,16.0,0.3332427442073822
16.0,99.0,16.0,0.255776047706604
16.0,100.0,16.0,0.23212830722332
16.0,102.0,16.0,0.14270183444023132
16.0,103.0,16.0,0.14895352721214294
16.0,109.0,16.0,0.04050013795495033
16.0,112.0,16.0,0.08072846382856369
16.0,114.0,16.0,0.05082903057336807
16.0,122.0,16.0,0.2739875018596649
16.0,123.0,16.0,0.22016853094100952
16.0,127.0,16.0,0.48953521251678467
16.0,128.0,16.0,0.4256591498851776
17.0,4.0,16.0,0.6928513646125793
17.0,8.0,16.0,0.5770590305328369
17.0,13.0,16.0,0.701005756855011
17.0,16.0,16.0,0.7526502013206482
17.0,25.0,16.0,0.23837998509407043
17.0,26.0,16.0,0.14107094705104828
17.0,29.0,16.0,0.42212557792663574
17.0,36.0,16.0,0.2160913348197937
17.0,40.0,16.0,0.1655341237783432
17.0,41.0,16.0,0.11606415361166
17.0,47.0,16.0,0.13617831468582153
17.0,53.0,16.0,0.7173145413398743
17.0,58.0,16.0,0.7662408351898193
17.0,68.0,16.0,0.18129926919937134
17.0,72.0,16.0,0.15629248321056366
17.0,75.0,16.0,0.2633867859840393
17.0,77.0,16.0,0.8314759731292725
17.0,86.0,16.0,0.8450666666030884
17.0,91.0,16.0,0.3473770320415497
17.0,93.0,16.0,0.12612123787403107
17.0,94.0,16.0,0.12639304995536804
17.0,95.0,16.0,0.22995378077030182
17.0,101.0,16.0,0.191356360912323
17.0,104.0,16.0,0.24463169276714325
17.0,123.0,16.0,0.3098668158054352
18.0,4.0,16.0,0.7309051752090454
18.0,6.0,16.0,0.5134547352790833
18.0,7.0,16.0,0.5759717226028442
18.0,11.0,16.0,0.7363414764404297
18.0,14.0,16.0,0.7118782997131348
18.0,18.0,16.0,0.7689589858055115
18.0,19.0,16.0,0.7961402535438538
18.0,23.0,16.0,0.22397390007972717
18.0,24.0,16.0,0.5126393437385559
18.0,29.0,16.0,0.46806198358535767
18.0,33.0,16.0,0.5335689187049866
18.0,39.0,16.0,0.14460451900959015
18.0,43.0,16.0,0.1364501267671585
18.0,44.0,16.0,0.15846697986125946
18.0,50.0,16.0,0.0451209619641304
18.0,58.0,16.0,0.7580864429473877
18.0,63.0,16.0,0.13509106636047363
18.0,70.0,16.0,0.1299266219139099
18.0,73.0,16.0,0.25142702460289
18.0,79.0,16.0,0.8178852796554565
18.0,81.0,16.0,0.8341941237449646
18.0,85.0,16.0,0.801576554775238
18.0,87.0,16.0,0.8287578225135803
18.0,89.0,16.0,0.8233215808868408
18.0,92.0,16.0,0.10084263235330582
18.0,96.0,16.0,0.14460451900959015
18.0,98.0,16.0,0.18102744221687317
18.0,101.0,16.0,0.24463169276714325
18.0,102.0,16.0,0.16471868753433228
18.0,104.0,16.0,0.33487361669540405
18.0,112.0,16.0,0.052731722593307495
18.0,116.0,16.0,0.13998369872570038
18.0,123.0,16.0,0.4922533333301544
19.0,2.0,16.0,0.22315846383571625
19.0,3.0,16.0,0.21745039522647858
19.0,4.0,16.0,0.15629248321056366
19.0,13.0,16.0,0.7662408351898193
19.0,14.0,16.0,0.78526771068573
19.0,17.0,16.0,0.7580864429473877
19.0,21.0,16.0,0.7662408351898193
19.0,26.0,16.0,0.3753737509250641
19.0,55.0,16.0,0.7662408351898193
19.0,57.0,16.0,0.7825496196746826
19.0,58.0,16.0,0.7934221625328064
19.0,73.0,16.0,0.2538733184337616
19.0,74.0,16.0,0.2590377926826477
19.0,81.0,16.0,0.8206034302711487
19.0,87.0,16.0,0.7526502013206482
19.0,88.0,16.0,0.8124490976333618
19.0,95.0,16.0,0.13916826248168945
19.0,96.0,16.0,0.1655341237783432
19.0,99.0,16.0,0.2807828187942505
19.0,100.0,16.0,0.29328620433807373
19.0,103.0,16.0,0.20603424310684204
19.0,107.0,16.0,0.1386246234178543
19.0,118.0,16.0,0.2593095898628235
20.0,1.0,16.0,0.1590106189250946
20.0,6.0,16.0,0.11117151379585266
20.0,10.0,16.0,0.6031530499458313
20.0,13.0,16.0,0.7444958090782166
20.0,17.0,16.0,0.7907040119171143
20.0,19.0,16.0,0.7825496196746826
20.0,20.0,16.0,0.801576554775238
20.0,23.0,16.0,0.7988583445549011
20.0,27.0,16.0,0.46806198358535767
20.0,33.0,16.0,0.5588475465774536
20.0,45.0,16.0,0.1331883817911148
20.0,50.0,16.0,0.07855395972728729
20.0,55.0,16.0,0.7798314690589905
20.0,66.0,16.0,0.1280239224433899
20.0,68.0,16.0,0.11796684563159943
20.0,81.0,16.0,0.864093542098999
20.0,91.0,16.0,0.39630335569381714
20.0,95.0,16.0,0.09948356449604034
20.0,107.0,16.0,0.1997825652360916
20.0,112.0,16.0,0.12476217746734619
20.0,120.0,16.0,0.2343028038740158
20.0,121.0,16.0,0.14596357941627502
20.0,122.0,16.0,0.26393041014671326
20.0,124.0,16.0,0.2669203579425812
21.0,1.0,16.0,0.10247350484132767
21.0,10.0,16.0,0.6303343176841736
21.0,15.0,16.0,0.7526502013206482
21.0,17.0,16.0,0.7580864429473877
21.0,19.0,16.0,0.7336232662200928
21.0,23.0,16.0,0.8070127964019775
21.0,25.0,16.0,0.8042946457862854
21.0,26.0,16.0,0.5017668008804321
21.0,28.0,16.0,0.41234031319618225
21.0,29.0,16.0,0.5398206114768982
21.0,35.0,16.0,0.39711880683898926
21.0,38.0,16.0,0.15139985084533691
21.0,47.0,16.0,0.02989942766726017
21.0,71.0,16.0,0.036694757640361786
21.0,73.0,16.0,0.05572166666388512
21.0,79.0,16.0,0.2731720507144928
21.0,81.0,16.0,0.8695298433303833
21.0,84.0,16.0,0.8287578225135803
21.0,89.0,16.0,0.8396303653717041
21.0,94.0,16.0,0.06740963459014893
21.0,95.0,16.0,0.11062788963317871
21.0,96.0,16.0,0.1538461595773697
21.0,101.0,16.0,0.43381351232528687
21.0,106.0,16.0,0.4870888888835907
21.0,112.0,16.0,0.13916826248168945
21.0,126.0,16.0,0.436531662940979
21.0,127.0,16.0,0.24164175987243652
22.0,1.0,16.0,0.1299266219139099
22.0,11.0,16.0,0.0956781804561615
22.0,17.0,16.0,0.7281870245933533
22.0,25.0,16.0,0.801576554775238
22.0,28.0,16.0,0.4180483818054199
22.0,39.0,16.0,0.07175863534212112
22.0,42.0,16.0,0.04783909022808075
22.0,59.0,16.0,0.11878228932619095
22.0,60.0,16.0,0.10926883667707443
22.0,62.0,16.0,0.118238665163517
22.0,71.0,16.0,0.0505572147667408
22.0,73.0,16.0,0.0891546681523323
22.0,81.0,16.0,0.8477847576141357
22.0,86.0,16.0,0.8314759731292725
22.0,88.0,16.0,0.8151671886444092
22.0,94.0,16.0,0.052188098430633545
22.0,95.0,16.0,0.11171514540910721
22.0,96.0,16.0,0.10573525726795197
22.0,103.0,16.0,0.6137537360191345
22.0,113.0,16.0,0.16064147651195526
22.0,124.0,16.0,0.42538735270500183
22.0,128.0,16.0,0.13481925427913666
22.0,130.0,16.0,0.2612122893333435
23.0,13.0,16.0,0.7200326323509216
23.0,17.0,16.0,0.7526502013206482
23.0,18.0,16.0,0.7444958090782166
23.0,19.0,16.0,0.801576554775238
23.0,24.0,16.0,0.7879859209060669
23.0,29.0,16.0,0.479478120803833
23.0,37.0,16.0,0.1804838329553604
23.0,43.0,16.0,0.06577874720096588
23.0,45.0,16.0,0.052188098430633545
23.0,52.0,16.0,0.7825496196746826
23.0,55.0,16.0,0.7771133780479431
23.0,56.0,16.0,0.7662408351898193
23.0,62.0,16.0,0.06822506338357925
23.0,66.0,16.0,0.12938299775123596
23.0,73.0,16.0,0.1321011185646057
23.0,75.0,16.0,0.14161457121372223
23.0,84.0,16.0,0.8910030722618103
23.0,85.0,16.0,0.888556718826294
23.0,86.0,16.0,0.8450666666030884
23.0,92.0,16.0,0.08643653988838196
23.0,94.0,16.0,0.1138896495103836
23.0,99.0,16.0,0.23566187918186188
23.0,105.0,16.0,0.5835825204849243
23.0,111.0,16.0,0.268551230430603
23.0,113.0,16.0,0.30252787470817566
23.0,116.0,16.0,0.1622723639011383
23.0,119.0,16.0,0.2343028038740158
23.0,128.0,16.0,0.11062788963317871
24.0,1.0,16.0,0.3601522147655487
24.0,2.0,16.0,0.2998097240924835
24.0,5.0,16.0,0.05599347501993179
24.0,6.0,16.0,0.04484914615750313
24.0,8.0,16.0,0.042402829974889755
24.0,11.0,16.0,0.16281600296497345
24.0,17.0,16.0,0.801576554775238
24.0,23.0,16.0,0.8396303653717041
24.0,31.0,16.0,0.3536287248134613
24.0,33.0,16.0,0.25088340044021606
24.0,36.0,16.0,0.12748029828071594
24.0,41.0,16.0,0.16933950781822205
24.0,48.0,16.0,0.10437619686126709
24.0,52.0,16.0,0.7363414764404297
24.0,53.0,16.0,0.7363414764404297
24.0,57.0,16.0,0.40364229679107666
24.0,67.0,16.0,0.09214460849761963
24.0,70.0,16.0,0.04648002237081528
24.0,72.0,16.0,0.09703724831342697
24.0,78.0,16.0,0.20141342282295227
24.0,89.0,16.0,0.801576554775238
24.0,90.0,16.0,0.8124490976333618
24.0,92.0,16.0,0.08263115584850311
24.0,96.0,16.0,0.12965479493141174
24.0,98.0,16.0,0.18320195376873016
24.0,104.0,16.0,0.4743137061595917
24.0,112.0,16.0,0.2840445637702942
24.0,114.0,16.0,0.10057081282138824
24.0,125.0,16.0,0.4620821177959442
25.0,1.0,16.0,0.27480295300483704
25.0,2.0,16.0,0.3063332438468933
25.0,3.0,16.0,0.16036967933177948
25.0,5.0,16.0,0.06333243101835251
25.0,6.0,16.0,0.015765152871608734
25.0,10.0,16.0,0.11470508575439453
25.0,11.0,16.0,0.1331883817911148
25.0,18.0,16.0,0.7907040119171143
25.0,19.0,16.0,0.8314759731292725
25.0,28.0,16.0,0.8369122743606567
25.0,30.0,16.0,0.3117695152759552
25.0,31.0,16.0,0.2688230574131012
25.0,35.0,16.0,0.2302256077528
25.0,36.0,16.0,0.24109812080860138
25.0,46.0,16.0,0.13672195374965668
25.0,47.0,16.0,0.15928241610527039
25.0,50.0,16.0,0.7662408351898193
25.0,57.0,16.0,0.4256591498851776
25.0,60.0,16.0,0.13264474272727966
25.0,64.0,16.0,0.1793965846300125
25.0,71.0,16.0,0.0956781804561615
25.0,76.0,16.0,0.09839631617069244
25.0,90.0,16.0,0.8178852796554565
25.0,93.0,16.0,0.11524871736764908
25.0,98.0,16.0,0.19760803878307343
25.0,104.0,16.0,0.38977983593940735
25.0,106.0,16.0,0.2440880835056305
25.0,110.0,16.0,0.32835012674331665
25.0,120.0,16.0,0.372111976146698
